time,eu_24,eu_17
2025-04-21 07:30:00,286.5778,244.4148
2025-04-21 07:35:00,279.1614,249.7611
2025-04-21 07:40:00,298.4535,277.13129999999995
2025-04-21 07:45:00,377.6136,347.9679
2025-04-21 07:50:00,537.6265999999999,504.902
2025-04-21 07:55:00,592.035,544.3495
2025-04-21 08:00:00,657.552,620.703
2025-04-21 08:05:00,869.2866,809.0315999999999
2025-04-21 08:10:00,990.648,934.184
2025-04-21 08:15:00,1007.8818,981.291
2025-04-21 08:20:00,819.0293999999999,798.8571999999999
2025-04-21 08:25:00,1121.6226,1097.3829
2025-04-21 08:30:00,1399.6864,1377.597
2025-04-21 08:35:00,1558.6467,1533.4955999999995
2025-04-21 08:40:00,2274.3424,2212.8417
2025-04-21 08:45:00,2052.678,1990.9693
2025-04-21 08:50:00,1983.184,1959.6828
2025-04-21 08:55:00,1919.3304,1869.648
2025-04-21 09:00:00,2357.2496,2365.4336
2025-04-21 09:05:00,3461.8752000000004,3807.6804
2025-04-21 09:10:00,4212.0584,4514.952
2025-04-21 09:15:00,5366.736,5257.9548
2025-04-21 09:20:00,5429.099200000001,5388.3615
2025-04-21 09:25:00,5121.580800000001,5618.9574
2025-04-21 09:30:00,3316.9032,3353.5475
2025-04-21 09:35:00,5321.8466,5721.3442
2025-04-21 16:40:00,7503.657,7044.5160000000005
2025-04-21 16:45:00,7471.523999999999,7111.8292
2025-04-21 16:50:00,7471.523999999999,7100.478
2025-04-21 16:55:00,7471.17,7058.762
2025-04-21 17:00:00,7506.549799999999,7004.442
2025-04-21 17:05:00,7419.346,6943.0425
2025-04-21 17:10:00,7282.030000000001,6914.6662
2025-04-21 17:15:00,7153.465,6838.8348000000005
2025-04-21 17:20:00,7070.61,6914.3641
2025-04-21 17:25:00,6982.8724,6839.4324000000015
2025-04-21 17:30:00,6875.3574,6758.013599999999
2025-04-21 17:35:00,6818.1639000000005,6655.6734
2025-04-21 17:40:00,6655.0371000000005,6460.0591
2025-04-21 17:45:00,6461.088,6236.598
2025-04-21 17:50:00,6214.9542,6172.155
2025-04-21 17:55:00,5897.2665,5967.986
2025-04-21 18:00:00,5519.8413,5564.204299999999
2025-04-21 18:05:00,5230.5966,5287.915599999999
2025-04-21 18:10:00,5060.0847,5056.0986
2025-04-21 18:15:00,4826.862700000001,4820.976000000001
2025-04-21 18:20:00,4558.856,4584.6828000000005
2025-04-21 18:25:00,4245.372600000001,4300.2222
2025-04-21 18:30:00,3846.4740000000006,3888.4830000000006
2025-04-21 18:35:00,3540.2471,3583.8075
2025-04-21 18:40:00,3221.8536,3255.048
2025-04-21 18:45:00,2925.2016000000003,2934.9606
2025-04-21 18:50:00,2606.5536,2649.9672
2025-04-21 18:55:00,2312.7984,2339.7715
2025-04-21 19:00:00,1979.4693,2021.3544
2025-04-21 19:05:00,1668.7656,1712.7432
2025-04-21 19:10:00,1361.5940999999998,1438.605
2025-04-21 19:15:00,1091.0165,1144.3675
2025-04-21 19:20:00,839.2986000000001,884.728
2025-04-21 19:25:00,582.005,657.9316
2025-04-21 19:30:00,404.8265,442.1365
2025-04-21 19:35:00,246.4792,252.20980000000003
2025-04-21 19:40:00,134.068,119.268
2025-04-21 19:45:00,59.4972,33.446
2025-04-22 06:30:00,28.712000000000003,5.8903
2025-04-22 06:35:00,61.797,61.079
2025-04-22 06:40:00,73.9167,66.563
2025-04-22 06:45:00,155.2983,147.4946
2025-04-22 06:50:00,261.28040000000004,225.9213
2025-04-22 06:55:00,316.7236,297.2992
2025-04-22 07:00:00,592.2304,459.954
2025-04-22 07:05:00,730.287,574.3467
2025-04-22 07:10:00,1092.7828,863.4439
2025-04-22 07:15:00,1338.9504,1130.7744
2025-04-22 07:20:00,1413.1488000000002,1276.326
2025-04-22 07:25:00,1794.9318,1658.2610000000002
2025-04-22 07:30:00,2110.376,1970.9088
2025-04-22 07:35:00,2447.34,2324.487
2025-04-22 07:40:00,2716.584,2613.2007000000003
2025-04-22 07:45:00,3017.508,2918.7686
2025-04-22 07:50:00,3365.0239,3258.2123
2025-04-22 07:55:00,3475.1358,3344.1642
2025-04-22 08:00:00,4151.6139,4070.4885
2025-04-22 08:05:00,2882.2672,2781.0552999999995
2025-04-22 08:10:00,1769.612,1741.4749
2025-04-22 08:15:00,1449.7206,1398.6902999999998
2025-04-22 08:20:00,1010.19,965.0746
2025-04-22 08:25:00,939.12,896.5796
2025-04-22 08:30:00,1097.469,1066.104
2025-04-22 08:35:00,1167.6736,1120.2512
2025-04-22 08:40:00,1064.6798,1009.1972
2025-04-22 08:45:00,1329.627,1282.9164
2025-04-22 08:50:00,2102.243,1991.2464
2025-04-22 08:55:00,1985.5872,1921.1225
2025-04-22 09:00:00,2341.7442,2204.7165
2025-04-22 09:05:00,4131.0255,4081.3122
2025-04-22 09:10:00,6613.1226,5871.8460000000005
2025-04-22 09:15:00,6851.5470000000005,6612.9262
2025-04-22 09:20:00,7331.5968,7229.4418
2025-04-22 09:25:00,7358.2236,7350.795399999999
2025-04-22 09:30:00,7344.202,7398.0725
2025-04-22 09:35:00,7317.142199999999,7367.555499999999
2025-04-22 09:40:00,7431.7934,7495.4
2025-04-22 09:45:00,7363.7596,7440.888
2025-04-22 09:50:00,7345.51,7447.1555
2025-04-22 09:55:00,7357.1316,7490.4543
2025-04-22 10:00:00,7385.6152,7530.133000000001
2025-04-22 10:05:00,7465.704,7584.5385000000015
2025-04-22 10:10:00,7590.262500000001,7582.934399999999
2025-04-22 10:15:00,7335.7218,7542.2124
2025-04-22 15:05:00,6457.2570000000005,6184.1585
2025-04-22 15:10:00,7085.3588,7170.2764
2025-04-22 15:15:00,6665.366400000001,6595.6158
2025-04-22 15:20:00,5336.772000000001,5230.698200000001
2025-04-22 15:25:00,4106.4205,4072.8343
2025-04-22 15:30:00,6800.734,6729.7815
2025-04-22 15:35:00,3919.0008,3891.4052
2025-04-22 15:40:00,7177.887000000001,6887.5086
2025-04-22 15:45:00,3844.2852,3784.7808
2025-04-22 15:50:00,2715.3846,2657.382
2025-04-22 15:55:00,2141.5546,2089.9636
2025-04-22 16:00:00,3156.6978000000004,3102.4839
2025-04-22 16:05:00,2626.1136,2523.382
2025-04-22 16:10:00,2404.8376,2348.395
2025-04-22 16:15:00,2587.845,2498.2078
2025-04-22 16:20:00,1606.1782,1525.1775
2025-04-22 16:25:00,1406.6103999999998,1326.6932
2025-04-22 16:30:00,1097.3655,1037.3688
2025-04-22 16:35:00,887.1960000000001,854.7927
2025-04-22 16:40:00,694.7982000000001,675.1992
2025-04-22 16:45:00,653.6475,609.8956
2025-04-22 16:50:00,593.2529999999999,538.8849
2025-04-22 16:55:00,601.803,617.1015
2025-04-22 17:00:00,801.5402999999999,782.9064
2025-04-22 17:05:00,776.9150999999999,738.4275
2025-04-22 17:10:00,532.3482,489.3176
2025-04-22 17:15:00,615.5205000000001,584.4696
2025-04-22 17:20:00,560.2095,539.3709
2025-04-22 17:25:00,695.7496,645.6708
2025-04-22 17:30:00,551.9831999999999,515.7537
2025-04-22 17:35:00,731.7824,706.7550000000001
2025-04-22 17:40:00,1088.576,1075.2216
2025-04-22 17:45:00,1973.4365000000005,1934.772
2025-04-22 17:50:00,4102.4067,3887.799
2025-04-22 17:55:00,1609.7412,1543.5656
